x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.1,0.0,0.3,0,0.00341010601037047
0.25,-0.2,0.1,0.0,0.6,0,0.1342893852459377
0.25,-0.2,0.1,0.225,-0.6,0,0.03062284397584523
0.25,-0.2,0.1,0.225,-0.3,1,9.535274507701943e-05
0.25,-0.2,0.1,0.225,0.0,1,6.999410184921345e-05
0.25,-0.2,0.1,0.225,0.3,1,5.839198259708097e-05
0.25,-0.2,0.1,0.225,0.6,1,5.8810542177817996e-05
0.25,-0.2,0.1,0.45,-0.6,1,9.69046789069026e-05
0.25,-0.2,0.1,0.45,-0.3,1,9.247018311136708e-05
0.25,-0.2,0.1,0.45,0.0,1,9.676103725975128e-05
0.25,-0.2,0.1,0.45,0.3,1,8.406820303550755e-05
0.25,-0.2,0.1,0.45,0.6,1,5.1952550094946143e-05
0.25,-0.2,0.1,0.675,-0.6,1,5.841406453840161e-05
0.25,-0.2,0.1,0.675,-0.3,1,6.192553334700626e-05
0.25,-0.2,0.1,0.675,0.0,1,7.476345826131846e-05
0.25,-0.2,0.1,0.675,0.3,1,5.141252171146346e-05
0.25,-0.2,0.1,0.675,0.6,1,7.790839303665528e-05
0.25,-0.2,0.1,0.9,-0.6,1,7.023158481770696e-05
0.25,-0.2,0.1,0.9,-0.3,1,7.952658930654579e-05
0.25,-0.2,0.1,0.9,0.0,1,6.035182564662367e-05
0.25,-0.2,0.1,0.9,0.3,1,6.043338857918777e-05
0.25,-0.2,0.1,0.9,0.6,1,8.771948682672119e-05
0.25,-0.2,0.1,1.2,-0.6,1,8.881032208087672e-05
0.25,-0.2,0.1,1.2,-0.3,1,5.493914685131372e-05
0.25,-0.2,0.1,1.2,0.0,1,6.0665600750209645e-05
0.25,-0.2,0.1,1.2,0.3,1,7.989070407682973e-05
0.25,-0.2,0.1,1.2,0.6,1,7.130960857888201e-05
0.25,-0.2,0.1,1.57,-0.6,1,5.872950034758965e-05
0.25,-0.2,0.1,1.57,-0.3,1,8.423682348740279e-05
0.25,-0.2,0.1,1.57,0.0,1,9.75130541377556e-05
0.25,-0.2,0.1,1.57,0.3,1,6.454627913663145e-05
0.25,-0.2,0.1,1.57,0.6,1,8.809357662187148e-05
0.25,-0.2,0.14,0.0,-0.6,0,0.02252729489197696
0.25,-0.2,0.14,0.0,-0.3,1,7.150339609702514e-05
0.25,-0.2,0.14,0.0,0.0,1,5.8732463693212265e-05
0.25,-0.2,0.14,0.0,0.3,0,0.0034571272764208185
0.25,-0.2,0.14,0.0,0.6,0,0.13318570261712848
0.25,-0.2,0.14,0.225,-0.6,1,8.356896872331605e-05
0.25,-0.2,0.14,0.225,-0.3,1,6.202198779558705e-05
0.25,-0.2,0.14,0.225,0.0,1,6.167610154446637e-05
0.25,-0.2,0.14,0.225,0.3,1,5.627124507443835e-05
0.25,-0.2,0.14,0.225,0.6,0,0.09560520727492543
0.25,-0.2,0.14,0.45,-0.6,1,9.653453485604787e-05
0.25,-0.2,0.14,0.45,-0.3,1,9.247491631329885e-05
0.25,-0.2,0.14,0.45,0.0,1,9.719560553706513e-05
0.25,-0.2,0.14,0.45,0.3,1,8.05211140797315e-05
0.25,-0.2,0.14,0.45,0.6,1,5.232928706371158e-05
0.25,-0.2,0.14,0.675,-0.6,1,5.828907879917333e-05
0.25,-0.2,0.14,0.675,-0.3,1,6.266079130319858e-05
0.25,-0.2,0.14,0.675,0.0,1,7.76780837693477e-05
0.25,-0.2,0.14,0.675,0.3,1,6.094914767381424e-05
0.25,-0.2,0.14,0.675,0.6,1,9.488248451779775e-05
0.25,-0.2,0.14,0.9,-0.6,1,7.011653417889485e-05
0.25,-0.2,0.14,0.9,-0.3,1,8.051272777529081e-05
0.25,-0.2,0.14,0.9,0.0,1,6.204762408747801e-05
0.25,-0.2,0.14,0.9,0.3,1,7.147931528227565e-05
0.25,-0.2,0.14,0.9,0.6,1,7.814388099370954e-05
0.25,-0.2,0.14,1.2,-0.6,1,8.831729180743617e-05
0.25,-0.2,0.14,1.2,-0.3,1,5.462317690953787e-05
0.25,-0.2,0.14,1.2,0.0,1,5.586226452718657e-05
0.25,-0.2,0.14,1.2,0.3,1,7.552455925373226e-05
0.25,-0.2,0.14,1.2,0.6,1,9.253216193709229e-05
0.25,-0.2,0.14,1.57,-0.6,1,5.747646935017926e-05
0.25,-0.2,0.14,1.57,-0.3,1,7.889310360594403e-05
0.25,-0.2,0.14,1.57,0.0,1,8.56042529650866e-05
0.25,-0.2,0.14,1.57,0.3,1,7.60332476591162e-05
0.25,-0.2,0.14,1.57,0.6,1,5.500189725498454e-05
0.25,-0.2,0.18,0.0,-0.6,0,0.0005729107832200425
0.25,-0.2,0.18,0.0,-0.3,1,6.0459076388911965e-05
0.25,-0.2,0.18,0.0,0.0,1,5.867184287797027e-05
0.25,-0.2,0.18,0.0,0.3,0,0.0035219595530426463
0.25,-0.2,0.18,0.0,0.6,0,0.1406393129354162
0.25,-0.2,0.18,0.225,-0.6,1,8.181122117772692e-05
0.25,-0.2,0.18,0.225,-0.3,1,6.098967866973117e-05
0.25,-0.2,0.18,0.225,0.0,1,5.940437334134216e-05
0.25,-0.2,0.18,0.225,0.3,1,9.14851752828453e-05
0.25,-0.2,0.18,0.225,0.6,0,0.18903852228924176
0.25,-0.2,0.18,0.45,-0.6,1,9.647867562491523e-05
0.25,-0.2,0.18,0.45,-0.3,1,9.313116475366019e-05
0.25,-0.2,0.18,0.45,0.0,1,5.003021795285802e-05
0.25,-0.2,0.18,0.45,0.3,1,9.215746359781979e-05
0.25,-0.2,0.18,0.45,0.6,1,8.907558987847987e-05
0.25,-0.2,0.18,0.675,-0.6,1,5.8332878950917335e-05
0.25,-0.2,0.18,0.675,-0.3,1,6.368803477848122e-05
0.25,-0.2,0.18,0.675,0.0,1,8.11004220842053e-05
0.25,-0.2,0.18,0.675,0.3,1,8.614620983108926e-05
0.25,-0.2,0.18,0.675,0.6,1,5.1372500477308626e-05
0.25,-0.2,0.18,0.9,-0.6,1,7.018235878409045e-05
0.25,-0.2,0.18,0.9,-0.3,1,8.192093126923968e-05
0.25,-0.2,0.18,0.9,0.0,1,6.352593718825244e-05
0.25,-0.2,0.18,0.9,0.3,1,9.606628787937833e-05
0.25,-0.2,0.18,0.9,0.6,1,5.300192995574313e-05
0.25,-0.2,0.18,1.2,-0.6,1,8.815625196678259e-05
0.25,-0.2,0.18,1.2,-0.3,1,5.4776092151843575e-05
0.25,-0.2,0.18,1.2,0.0,1,5.198758110807281e-05
0.25,-0.2,0.18,1.2,0.3,1,9.617575045503247e-05
0.25,-0.2,0.18,1.2,0.6,1,9.960189969602834e-05
0.25,-0.2,0.18,1.57,-0.6,1,5.6865156467112316e-05
0.25,-0.2,0.18,1.57,-0.3,1,7.560299225642512e-05
0.25,-0.2,0.18,1.57,0.0,1,7.550500939943563e-05
0.25,-0.2,0.18,1.57,0.3,1,8.629247528170321e-05
0.25,-0.2,0.18,1.57,0.6,1,7.202563132654537e-05
0.25,-0.2,0.22,0.0,-0.6,1,7.65088788325719e-05
0.25,-0.2,0.22,0.0,-0.3,1,8.885391557355982e-05
0.25,-0.2,0.22,0.0,0.0,1,8.949363091202688e-05
0.25,-0.2,0.22,0.0,0.3,0,0.003546150749531794
0.25,-0.2,0.22,0.0,0.6,0,0.1501887589243141
0.25,-0.2,0.22,0.225,-0.6,1,8.196670848555193e-05
0.25,-0.2,0.22,0.225,-0.3,1,6.092664970821699e-05
0.25,-0.2,0.22,0.225,0.0,1,5.881708574331419e-05
0.25,-0.2,0.22,0.225,0.3,1,7.956594950003602e-05
0.25,-0.2,0.22,0.225,0.6,0,0.19555727933602443
0.25,-0.2,0.22,0.45,-0.6,1,9.674085808449064e-05
0.25,-0.2,0.22,0.45,-0.3,1,9.429103951466966e-05
0.25,-0.2,0.22,0.45,0.0,1,5.232098917119313e-05
0.25,-0.2,0.22,0.45,0.3,1,6.850585970527566e-05
0.25,-0.2,0.22,0.45,0.6,0,0.05166262565156021
0.25,-0.2,0.22,0.675,-0.6,1,5.8531391958993825e-05
0.25,-0.2,0.22,0.675,-0.3,1,6.516757744221487e-05
0.25,-0.2,0.22,0.675,0.0,1,8.565480554504792e-05
0.25,-0.2,0.22,0.675,0.3,1,9.46558130641716e-05
0.25,-0.2,0.22,0.675,0.6,0,0.03458717562448791
0.25,-0.2,0.22,0.9,-0.6,1,7.04485627125606e-05
0.25,-0.2,0.22,0.9,-0.3,1,8.431741434873566e-05
0.25,-0.2,0.22,0.9,0.0,1,6.555401977181692e-05
0.25,-0.2,0.22,0.9,0.3,1,5.1972966064640356e-05
0.25,-0.2,0.22,0.9,0.6,0,0.0037738789746443614
0.25,-0.2,0.22,1.2,-0.6,1,8.853556532060954e-05
0.25,-0.2,0.22,1.2,-0.3,1,5.615493119229597e-05
0.25,-0.2,0.22,1.2,0.0,1,9.714445040122194e-05
0.25,-0.2,0.22,1.2,0.3,1,6.338571769581305e-05
0.25,-0.2,0.22,1.2,0.6,0,0.03228088113345065
0.25,-0.2,0.22,1.57,-0.6,0,0.12348006243255685
0.25,-0.2,0.22,1.57,-0.3,0,0.13863804166464852
0.25,-0.2,0.22,1.57,0.0,0,0.14068856347472034
0.25,-0.2,0.22,1.57,0.3,0,0.14302413435432892
0.25,-0.2,0.22,1.57,0.6,0,0.12051656162913679
0.25,-0.2,0.26,0.0,-0.6,1,7.692368228096486e-05
0.25,-0.2,0.26,0.0,-0.3,1,8.773804051227891e-05
0.25,-0.2,0.26,0.0,0.0,1,8.426826000452626e-05
0.25,-0.2,0.26,0.0,0.3,0,0.0035810673173336436
0.25,-0.2,0.26,0.0,0.6,0,0.1632984121156484
0.25,-0.2,0.26,0.225,-0.6,1,8.250363877569637e-05
0.25,-0.2,0.26,0.225,-0.3,1,6.144186101560609e-05
0.25,-0.2,0.26,0.225,0.0,1,5.99096563125583e-05
0.25,-0.2,0.26,0.225,0.3,1,5.9679159131880866e-05
0.25,-0.2,0.26,0.225,0.6,0,0.20552051421571116
